base_yr_qtr_cd,adm_cd,adm_nm,svc_induty_cd,svc_induty_nm,tot_sales_amt,tot_selng_co,mdwk_sales_amt,wkend_sales_amt,mon_sales_amt,tue_sales_amt,wed_sales_amt,thu_sales_amt,fri_sales_amt,sat_sales_amt,sun_sales_amt,tm00_06_sales_amt,tm06_11_sales_amt,tm11_14_sales_amt,tm14_17_sales_amt,tm17_21_sales_amt,tm21_24_sales_amt,ml_sales_amt,fml_sales_amt,age10_amt,age20_amt,age30_amt,age40_amt,age50_amt,age60_amt
20254,11650510,서초1동,CS200025,자동차수리,1535132607.0,4977.0,1250202908.0,284929699.0,363849941.0,249981188.0,189892438.0,182050881.0,264428460.0,268156638.0,16773061.0,0.0,249770203.0,426366819.0,500399554.0,358596031.0,0.0,849124026.0,327913110.0,0.0,5021165.0,169437238.0,351632660.0,351559782.0,299386293.0
20254,11650510,서초1동,CS200026,자동차미용,1695386513.0,24734.0,1551672113.0,143714400.0,438126200.0,257389514.0,348860769.0,198705149.0,308590481.0,142230939.0,1483461.0,7956745.0,444187623.0,553021899.0,606705532.0,83514714.0,0.0,650505514.0,376531354.0,0.0,0.0,80025996.0,237386533.0,294841812.0,414782528.0
20254,11650510,서초1동,CS200028,미용실,973810386.0,13020.0,630445111.0,343365275.0,44255426.0,127975105.0,95289352.0,180345328.0,182579900.0,242192962.0,101172313.0,0.0,70720059.0,242317243.0,372420452.0,284654274.0,3698358.0,377801065.0,564163375.0,3223174.0,54650319.0,134591609.0,212868003.0,231157131.0,305474205.0
20254,11650510,서초1동,CS200029,네일숍,55619695.0,564.0,41938084.0,13681611.0,9702420.0,8453209.0,12155756.0,6562472.0,5064227.0,7484602.0,6197009.0,0.0,66384.0,14591574.0,23588340.0,16097249.0,1276148.0,8247540.0,44716783.0,0.0,9188759.0,13329640.0,12558805.0,12547022.0,5340096.0
20254,11650510,서초1동,CS200030,피부관리실,45214240.0,299.0,44002304.0,1211936.0,675022.0,15056754.0,8803937.0,3476573.0,15990018.0,930677.0,281259.0,311908.0,6835714.0,9000637.0,17693647.0,9989303.0,1383031.0,25205526.0,20008714.0,0.0,2200066.0,16943891.0,2837498.0,14920877.0,8311908.0
20254,11650510,서초1동,CS200031,세탁소,489615238.0,25762.0,386037375.0,103577863.0,94925680.0,56862505.0,115380188.0,46053840.0,72815162.0,102432118.0,1145745.0,15277.0,115469871.0,114742747.0,129360694.0,128283515.0,1743134.0,239561384.0,242227025.0,805753.0,22777398.0,73839691.0,105367505.0,136131571.0,142866492.0
20254,11650510,서초1동,CS200037,노래방,307261904.0,2427.0,258873386.0,48388518.0,60036777.0,56127432.0,42880778.0,59009070.0,40819329.0,33966859.0,14421659.0,100045479.0,0.0,0.0,671973.0,42064626.0,164479826.0,203591396.0,22875247.0,562138.0,6353434.0,24452117.0,81623310.0,55276191.0,58199449.0
20254,11650510,서초1동,CS300001,슈퍼마켓,3475907495.0,245990.0,2565578706.0,910328789.0,510734488.0,533685919.0,394124436.0,568782859.0,558251004.0,519317414.0,391011375.0,2516196.0,445126188.0,722966256.0,834582548.0,1172081149.0,298635158.0,1684398819.0,1410864777.0,5190909.0,240907765.0,579678811.0,732567197.0,716172468.0,820746450.0
20254,11650510,서초1동,CS300002,편의점,2476237371.0,430700.0,1972210871.0,504026500.0,380361143.0,395147555.0,432055446.0,363546216.0,401100511.0,277261125.0,226765375.0,124126538.0,519149581.0,411908297.0,373444598.0,670974308.0,376634049.0,1420630064.0,770746898.0,27769156.0,376044187.0,572684902.0,452058590.0,485733291.0,277086836.0
20254,11650510,서초1동,CS300003,컴퓨터및주변장치판매,3475631881.0,4908.0,3475631881.0,0.0,45645772.0,2516340240.0,52162254.0,827372520.0,34111095.0,0.0,0.0,0.0,2046910284.0,1343087098.0,70119799.0,15514700.0,0.0,3413580241.0,10331000.0,0.0,0.0,6716057.0,0.0,33287429.0,3383907755.0
20254,11650510,서초1동,CS300004,핸드폰,50895261.0,2835.0,32071382.0,18823879.0,5479745.0,3663462.0,15209706.0,5159587.0,2558882.0,18823879.0,0.0,0.0,3519146.0,31007462.0,9552090.0,6816563.0,0.0,29378830.0,19348884.0,0.0,4685585.0,969792.0,4075815.0,15281091.0,23715431.0
